EarthquakeID,FAS_0p100_,FAS_0p150_,FAS_0p200_,FAS_0p250_,FAS_0p300_,FAS_0p400_,FAS_0p500_,FAS_0p750_,FAS_1p000_,FAS_1p500_,FAS_2p000_
us10006nlu,2.468629208238702,2.5785367639793737,2.6807651599305924,2.4789141814720135,2.476192565399213,2.2580796091523547,1.7837725914468554,1.2135321696419894,1.0787518417393305,0.6961928105653575,0.4844005580676078
us2000ag4k,0.24095517741380706,0.7482040943309856,0.7811398770759533,0.5512173430276643,0.4753463985371965,0.357791122994605,0.23765347523518293,0.07298952045970948,-0.04868096424349912,-0.23314261230612407,-0.09708543927043634
us60007f42,0.7486549429733063,1.069716190431948,0.9305519386599607,0.8432989121543271,0.7932383428357448,0.3459910727639993,0.11990294596943166,0.06676271378897228,0.08841272698921289,-0.11521892069822515,-0.14993541155363943
usp000acrj,0.7697982965017791,1.047267880077869,1.1366630869497927,0.9446804888366602,0.8598967641325702,0.8755225768886337,0.6789866788125677,0.4774261546677545,0.33878890496660485,-0.12151457681197618,0.05431200209321765
uw10496228,1.6961341024094658,1.808401021616348,2.053856004633854,1.578828495172042,1.6090824597892763,1.3188853952920199,1.1307316102256542,0.5819971730595677,0.4795229540679131,0.20281747511565518,0.038529633375994334
uw10506078,0.26942822069366174,1.04967863584831,1.25772496129244,1.0956762798698962,1.359519993381259,1.4656359082857167,1.4292735073589264,1.1643175349337729,1.2090052183777402,1.1870970306141728,1.6289445583741697
uw10517388,1.266912336654817,1.4723973532787933,1.3886004218845873,1.4173431845385647,0.8968985685698699,0.5708677008368831,0.4151562045042782,-0.11214269716047,-0.19998540441019583,,
uw10524793,1.6697340815143367,1.9662420430565244,2.210505484588708,1.7345139838135775,1.5196331118661457,1.6548308572755825,1.217237460300996,0.5703754407397218,0.6793065967379858,0.4865972417346192,0.2908519199783471
uw10529683,-0.15329112822213647,0.32014854908709384,0.5630539102532764,0.6009073816102513,0.5771613636846811,0.1156824047323661,-0.16972320491741916,-0.28818016318827117,-0.3268342047867162,-0.40483229017688954,-0.18419583101480544
uw10530748,0.6496391076436212,1.138427961176961,1.4172188920678137,1.1462423529739094,1.2923052047827666,1.2944126229707646,1.1044501657170076,0.6894235742617797,0.5889190535793678,0.5640073646988722,0.7246679393715564
uw10542258,0.5495144895512277,0.7493811558249704,0.9119069530894058,0.5086523711234303,0.6184095313669208,0.34429123565015246,0.12994429494116155,-0.35287147386310097,-0.6034239120369067,-0.851908738462753,-0.7659165889499309
uw10562323,0.7077997530372501,1.1103792536425694,1.4396310319836714,1.2352995785059597,1.4195705049796004,1.2130079366944833,1.041189792538635,0.6142033098377172,0.5613944789894277,0.6059370365500523,0.6573197310041836
uw10569358,0.20927586342327775,0.530258935215109,0.14973371919118514,0.251533398046654,0.518077379306145,-0.0006542123291443041,0.04919326118668405,-0.18777156025935182,,,
uw10570363,0.8015998477283865,1.2349160757554467,1.6391944548903923,1.5710233131605413,1.3982004470062939,1.2839573786068883,1.1792447680253169,0.5328684897426881,0.33208460095214526,0.26729159866452773,0.32360324855756195
uw10583283,0.3222104954022466,0.168880933181536,0.11419108116348745,0.10300791495315388,-0.036577694789443754,0.09913850368134092,-0.0680875731605421,-0.3428002061260997,-0.48658690120425985,-0.5205851686986305,-0.259631751292183
uw10583988,0.11904568023460826,0.1902787425202387,0.520678363328904,0.5059795884256393,0.5123095353794261,0.3059568371696181,0.3299538475416364,0.1874657400727016,0.14762644388117574,0.11603344088421555,0.32397534449067644
uw10600938,1.7811591335976202,1.8335632490352438,1.908203066188715,1.6688619024687927,1.4135125483589104,1.334334587123061,1.2145940861839772,0.7158493881688126,0.6538173786579397,0.49102935900366407,0.67266078011396
uw10601248,0.3639652085507529,1.1171352401796373,1.4656594459891106,1.3264693510186132,1.0671810534495902,1.1254081422610367,0.9813294325351143,0.4200188239139429,0.2258395063202494,0.007483197088199274,-0.4031700820298624
uw10611773,1.3296587269991373,1.8226229187894532,1.8963763489582766,1.6129826925783668,1.5644911377548776,1.553516287660845,1.358075232278242,0.698776190974424,0.5713812419862112,0.18882372461506147,0.14388836503303185
uw10614268,1.5291452625658597,1.902055183077842,2.232097875540154,2.1745563084759953,2.136635536418494,1.9479118421965513,1.774263377647895,0.9794460846049265,0.8145571012703282,0.4664220782794102,0.7336557554110055
uw10615783,,0.6601734812002477,0.3532809310846416,0.6268493906393565,0.699979994575456,0.9538404804324003,1.0648683195126776,0.6287394242578499,0.9536527436672032,0.814527394896215,1.2619566935941124
uw10617863,,-2.1027708814205592,-1.6914005780162047,-1.1982641451194118,-1.312206103955363,-1.1000553229017842,-0.635728745407554,-0.003694380923274455,0.07434585498468747,0.19884983959405153,0.2311701324739427
uw10618028,,-2.2400992366896877,-1.8691590589023812,-1.2844272997427995,-1.7740807793152564,-1.4413762127241856,-0.6678255865286872,-0.37914494647916164,-0.556820572547875,0.029139390718294265,-0.02411004623476842
uw10620853,,,-2.561612303955143,-1.7946020228051696,-1.8488302073766218,-1.4259987917060186,-1.373961006214054,-0.5737532502783552,-0.9103424124159384,-0.38935331515107885,
uw10621123,-2.831900839030139,-2.4625200521516852,-1.6364927372751623,-1.2504959759261176,-1.0765142545556214,-1.2027701088651892,-0.8928112391446571,-0.19113809506099833,-0.0853060525537876,0.1898860683019958,
uw10622453,,,-1.924576434918527,-1.4883341051211805,-1.550954767279564,-1.1854238352033752,-0.9489311034101185,-0.18689916543155802,-0.22178063090874287,0.16950809193895655,0.15579694247828302
uw10623773,-4.166572724905725,-3.1837529857468807,-2.3308704112577545,-2.183469592599154,-1.8124261791318914,-1.6198496257878803,-1.3486957524189451,-0.7058141183155291,-0.6253755560962273,-0.43987788659467975,-0.6273500006958644
uw10623943,,,-2.495326712922183,-1.7420592857006734,-2.2832964860993212,-2.0274831994753737,-1.574864785989852,-1.2968153412959587,-0.7448827004420707,-0.5735651297707579,
uw10628053,,-2.776299711013027,-2.0674920701299557,-1.7882928929203215,-1.6272635460972633,-1.223315871128452,-1.003211670854355,-0.2442585752125045,-0.1019136444833782,0.08618767785657874,-0.44035125953943133
uw10630803,-2.6176697297290654,-2.075558103015157,-1.8961066117876062,-1.5465334329648526,-1.3910632670799832,-1.528184099928325,-0.8431562857079158,-0.5599924769280422,-0.452158905632081,-0.0198942617046606,-0.41146912974507893
uw10632868,,-3.510055117885993,-2.4615327117836485,-2.454296031235815,-2.0776761224333935,-2.2106493806911103,-1.4977178043368382,-0.8274331025840448,-0.4930255703640757,-0.3286750864390406,-0.36214111394705345
uw10639138,-3.284050056257446,-2.7526917093456515,-2.2450647898442595,-1.9647005166407938,-2.103611690203965,-1.7879235247973402,-1.9963629001026089,-1.1060693011837464,-0.9916851467095271,-0.8012350593814257,-1.0254847456931915
uw10639638,0.9448687305694164,-0.5951575940899931,-1.4589336046637844,-1.6824770576098886,-1.7822607303704598,-1.726478397569842,-1.6881828621379154,-1.1377737254254157,-1.1073351180973245,-0.6330734057237967,-0.7028830756096176
uw10647093,0.9171522980743754,1.1349977163994833,1.3067331606343984,1.050698223037052,1.0268075496720972,0.7808104991546209,0.5616853399542496,0.036068885885103416,0.16155431838746806,0.06630602676240412,0.22459225712938907
uw10649358,-0.5596341017421251,-1.6742285235361802,-2.17092859865541,-2.0702409841326186,-1.7451653033945125,-1.8752111313818955,-1.530479851321071,-1.1252571557166287,-1.014948039902518,-0.873116284718372,-0.3737128585960676
uw10681068,-0.3038197356878926,0.3618039245168577,0.34402721581037055,0.02841031318964534,0.19553618931538067,0.0673614318220583,-0.10047270641007004,-0.12351468096624287,-0.11387358908618288,-0.20311949772821522,-0.2053230484696225
uw10684038,0.5831218230171371,1.2208142210972424,1.3792966024526487,1.2963774123908705,1.3861418207153073,1.2097612331853103,0.983316420279777,0.5773745658191736,0.407809038808574,-0.05879597610256876,0.39641821977555386
uw10694073,1.159069339855037,1.0367852946729603,1.0467081818115127,0.6218661443313706,0.5966946518116504,0.2010992153069857,0.021511564629446974,-0.4391478671638715,-0.5387183584321112,-0.8402579646745684,-0.8283610127105636
uw10695763,1.093922944672223,1.3658201781032728,1.1777987417588938,0.7058383810244984,0.41461479357862757,0.5448127566206151,0.5441558765157648,0.4673990321541023,0.379879797751149,0.21472984834370307,0.39923387992870485
uw10697073,-2.197301875064027,-2.348843761526574,-2.2224683939974064,-2.0607150792841775,-1.692730821820097,-1.2505415018726644,-1.2342169447352667,-0.4301925377435507,-0.18340030152671127,-0.19580894409489294,-0.7747495471475336
uw10700288,-3.1240655229619203,-2.3972851797063996,-1.9653696122426627,-1.8620697300421347,-1.580082521546392,-0.7783579821637207,-0.5528759276164588,-0.1660950988680684,0.11273200964313744,0.27782133467198317,-0.16267405223920714
uw10701498,1.27281455064406,1.6193390217660026,1.3531186481751827,0.8932886523117333,0.8289386180938019,0.6651283859130932,0.3759768200299937,-0.02148114508171342,-0.12035632677872367,-0.25985637938938533,-0.3013376825373562
uw10702618,-2.2584218722017204,-1.6329610986264236,-1.8100609951001654,-1.994457725083952,-1.6071879974846517,-1.0113278767724878,-0.7350620334613451,-0.2965296730534939,-0.24842929388101903,-0.31465784525797513,-1.0937840970879396
uw10705188,-2.8735743982358155,-2.57727518413899,-2.232591224940316,-1.6183157011347786,-1.5268043681054098,-0.9619388663998893,-1.1403316487074882,-0.3757990794090517,-0.44101842206674285,-0.07046441495715647,-0.551795043514549
uw10710243,0.9060923620735701,1.0712731210245183,1.3812712910067289,1.4104340389160102,1.1723567762792637,0.4695039170284094,0.27623255921248946,0.7795356007339718,0.7575002168490782,0.9222657279452221,0.9994838566275487
